,threshold,accuracy,precision,recall,f1score
619,0.619,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
620,0.62,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
621,0.621,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
622,0.622,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
623,0.623,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
596,0.596,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
594,0.594,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
565,0.5650000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
593,0.593,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
566,0.5660000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
567,0.5670000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
568,0.5680000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
569,0.5690000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
570,0.5700000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
571,0.5710000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
572,0.5720000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
573,0.5730000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
574,0.5740000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
575,0.5750000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
576,0.5760000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
577,0.577,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
578,0.578,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
579,0.579,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
580,0.58,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
581,0.581,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
582,0.582,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
583,0.583,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
584,0.584,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
585,0.585,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
586,0.586,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
587,0.587,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
588,0.588,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
589,0.589,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
590,0.59,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
591,0.591,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
592,0.592,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
749,0.749,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
751,0.751,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
